"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1982-83","D. Thomas",31,4,,13,0,4,0,0,0,0,2,,,,308,,308,0,,4,0,,,,"NO","campeon"
"1982-83","D. Strawberry",20,4,,13,1,3,0,0,0,2,0,,,,231,,231,0,,3,0,,,,"NO","campeon"
"1976-77","D. Murphy",0,5,,11,1,3,1,0,0,0,0,,,,273,,364,0,,4,1,,,,"NO","subcampeon"
"1985-86","D. Miller",27,5,,18,5,5,0,1,1,6,0,,,,278,,556,0,,10,2,,,,"NO","campeon"
"1976-77","D. May",33,6,,22,5,7,0,0,2,7,1,,,,318,,591,0,,13,2,,,,"NO","subcampeon"
"1964-65","D. Knowles",23,2,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1985-86","D. Boston",22,7,,24,4,7,0,1,0,5,1,,,,292,,375,0,,9,1,,,,"NO","campeon"
"2011-12","C. Suarez",28,6,25,23,6,7,2,0,1,2,0,0,2,2,304,0.36,522,882,4.3,12,3,0,0,0,"NO","subcampeon"
"1971-72","C. Salas",21,1,,2,0,1,0,0,0,0,0,,,,0.5,,0.5,0,,1,0,,,,"NO","subcampeon"
"1969-70","C. Ruíz",31,2,,8,0,1,0,0,0,1,0,,,,125,,125,0,,1,0,,,,"SI","subcampeon"
"1966-67","C. Ruíz",28,5,,18,2,3,0,0,0,0,0,,,,167,,167,0,,3,0,,,,"NO","subcampeon"
"1965-66","C. Ruíz",27,6,,23,3,6,2,0,0,2,0,,,,261,,348,0,,8,2,,,,"NO","campeon"
"1965-66","C. Motton",24,6,,23,4,7,0,1,1,2,0,,,,304,,522,0,,12,2,,,,"NO","campeon"
"1968-69","C. Moreno",21,1,,1,1,1,0,0,0,0,0,,,,1,,1,0,,1,0,,,,"NO","campeon"
"1986-87","C. Martínez",21,3,,9,0,1,0,0,0,0,0,,,,111,,111,0,,1,0,,,,"NO","subcampeon"
"1976-77","C. Gaston",32,6,,25,7,15,2,0,3,7,1,,,,0.6,,1.04,0,,26,5,,,,"NO","subcampeon"
"1964-65","C. Carroll",23,1,,2,1,1,0,0,0,0,0,,,,0.5,,0.5,0,,1,0,,,,"NO","campeon"
"1986-87","B. Fields",26,4,,10,0,1,0,0,0,1,0,,,,0.1,,0.1,0,,1,0,,,,"NO","subcampeon"
"1966-67","B. Faul",26,3,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1965-66","B. Burda",27,6,,20,0,2,0,0,0,1,0,,,,0.1,,0.1,0,,2,0,,,,"NO","campeon"
"1982-83","B. Brown",28,5,,13,2,3,0,0,1,1,1,,,,231,,462,0,,6,1,,,,"NO","campeon"
"1965-66","B. Brandon",25,5,,5,1,1,0,0,1,2,0,,,,0.2,,0.8,0,,4,1,,,,"NO","campeon"
"1982-83","B. Bochy",27,6,,19,4,7,1,1,1,3,2,,,,368,,684,0,,13,3,,,,"NO","campeon"
"1984-85","B. Benton",27,4,,16,3,5,0,0,0,1,0,,,,313,,313,0,,5,0,,,,"NO","campeon"
"1986-87","A. Salazar",25,2,,4,1,1,0,0,0,0,0,,,,0.25,,0.25,0,,1,0,,,,"NO","subcampeon"
"1985-86","A. Salazar",24,7,,25,3,8,1,0,0,2,1,,,,0.32,,0.36,0,,9,1,,,,"NO","campeon"
"1984-85","A. Salazar",23,4,,13,1,3,0,0,0,0,0,,,,231,,231,0,,3,0,,,,"NO","campeon"
"1982-83","A. Salazar",21,2,,2,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1968-69","A. Phillips",27,9,,29,7,12,4,0,0,4,1,,,,414,,552,0,,16,4,,,,"NO","campeon"
"1966-67","A. Phillips",25,5,,20,7,12,2,0,2,7,1,,,,0.6,,1,0,,20,4,,,,"NO","subcampeon"
