"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda"
105,,"2021-22","04/11/2021",10,"Cardenales de Lara",1,"Luis Lugo",4,5,1,1,0,0,3,16,6.75,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
106,,"2021-22","04/11/2021",10,"Cardenales de Lara",2,"Luis Carrasco",0.2,1,0,0,0,1,0,4,2.08,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
107,,"2021-22","04/11/2021",10,"Cardenales de Lara",3,"Elvis Escobar",0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
108,,"2021-22","04/11/2021",10,"Cardenales de Lara",4,"Pedro Garcia",1,1,0,0,0,0,1,4,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
109,,"2021-22","04/11/2021",10,"Cardenales de Lara",5,"Vicente Campos ",0.2,1,0,0,0,1,1,4,0,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular"
110,,"2021-22","04/11/2021",10,"Cardenales de Lara",6,"Yapson Gomez ",0.1,0,0,0,0,0,1,1,0,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular"
111,,"2021-22","04/11/2021",10,"Cardenales de Lara",7,"Jean Machi ",0.1,1,2,2,1,1,0,3,6.23,0,0,0,1,0,"Estadio Universitario","Tiburones de la Guaira","regular"
112,,"2021-22","04/11/2021",10,"Cardenales de Lara",8,"Fabian Blanco",0.2,0,0,0,0,0,1,2,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
113,,"2021-22","04/11/2021",10,"Cardenales de Lara",9,"Shane Greene ",0.1,3,2,2,0,1,0,6,5.4,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
114,"cavjor001","2021-22","04/11/2021",10,"Tiburones de la Guaira",1,"Jorgan Cavanerio",6,5,0,0,0,0,3,21,1.84,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
115,"ramedu001","2021-22","04/11/2021",10,"Tiburones de la Guaira",2,"Edubray Ramos ",0.1,2,2,2,0,1,0,4,27,0,0,0,0,1,"Estadio Universitario","Cardenales de Lara","regular"
116,"infgre001","2021-22","04/11/2021",10,"Tiburones de la Guaira",3,"Gregory Infante ",1.1,4,1,1,0,0,1,7,5.68,0,0,0,1,0,"Estadio Universitario","Cardenales de Lara","regular"
117,"herarn001","2021-22","04/11/2021",10,"Tiburones de la Guaira",4,"Arnaldo Hernandez ",1.1,2,1,1,0,1,2,6,10.8,1,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
126,"florya001","2021-22","05/11/2021",11,"Tiburones de la Guaira",1,"Ryan Flores",2.1,6,7,6,0,2,1,16,6.75,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular"
127,"guzemi001","2021-22","05/11/2021",11,"Tiburones de la Guaira",2,"Emilker Guzman",0.2,0,0,0,0,1,0,4,6,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular"
128,"paleug001","2021-22","05/11/2021",11,"Tiburones de la Guaira",3,"Eugenio Palma",1.1,3,2,2,1,0,1,7,3.86,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular"
129,"ortant001","2021-22","05/11/2021",11,"Tiburones de la Guaira",4,"Anthony Ortega",0.1,2,1,1,0,1,0,4,10.13,0,0,0,0,0,"Estadio Universitario","Tigres de Aragua","regular"
