"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"142","2008-09","27","0","0","","2.19","5","0","0","0","0","12.1","5","3","3","1","0","8","0.405","3.65","0.73","0.00","5.84","","0","NO"
"143","2008-09","31","0","1","0.0000","4.82","2","2","0","0","0","9.1","7","5","5","0","5","6","1.286","6.75","0.00","4.82","5.79","1.2000","0","NO"
"144","2008-09","29","0","2","0.0000","9.72","7","2","0","0","0","8.1","12","11","9","3","4","5","1.920","12.96","3.24","4.32","5.40","1.2500","0","SI"
"145","2008-09","35","1","1","0.5000","3.95","8","0","0","0","0","13.2","11","7","6","2","6","4","1.244","7.24","1.32","3.95","2.63","0.6667","0","NO"
"146","2008-09","18","0","0","","3.86","3","0","0","0","0","2.1","2","1","1","0","2","4","1.714","7.71","0.00","7.71","15.43","2.0000","0","NO"
"147","2008-09","26","0","0","","0.00","2","0","0","0","0","1.1","1","0","0","0","0","3","0.750","6.75","0.00","0.00","20.25","","0","NO"
"148","2008-09","26","1","0","1.0000","3.86","9","0","0","0","0","9.1","10","4","4","1","4","2","1.500","9.64","0.96","3.86","1.93","0.5000","0","NO"
"149","2008-09","25","0","0","","10.13","6","0","0","0","0","5.1","9","6","6","2","3","2","2.250","15.19","3.38","5.06","3.38","0.6667","0","NO"
"150","2008-09","27","1","1","0.5000","16.20","3","0","0","0","0","1.2","7","3","3","0","1","1","4.800","37.80","0.00","5.40","5.40","1.0000","0","SI"
"151","2008-09","26","0","0","","36.00","2","0","0","0","0","1.0","5","4","4","2","1","0","6.000","45.00","18.00","9.00","0.00","0.0000","0","NO"
"152","2008-09","37","0","0","","13.50","2","0","0","0","0","2.0","3","3","3","2","0","0","1.500","13.50","9.00","0.00","0.00","","0","NO"
"153","2008-09","28","0","0","","0.00","2","0","0","0","0","3.0","3","2","0","0","1","0","1.333","9.00","0.00","3.00","0.00","0.0000","0","NO"
"154","2008-09","21","0","0","","0.00","1","0","0","0","0","1.0","1","0","0","0","0","0","1.000","9.00","0.00","0.00","0.00","","0","NO"
"155","2009-10","27","1","1","0.5000","3.63","4","4","0","0","0","22.1","20","10","9","1","5","17","1.119","8.06","0.40","2.01","6.85","3.4000","0","SI"
"156","2009-10","27","2","1","0.6667","4.08","4","4","0","0","0","17.2","20","9","8","1","9","11","1.642","10.19","0.51","4.58","5.60","1.2222","0","NO"
"157","2009-10","27","0","0","","4.91","7","0","0","0","5","7.1","6","4","4","1","1","10","0.955","7.36","1.23","1.23","12.27","10.0000","0","NO"
"158","2009-10","34","0","2","0.0000","4.80","4","4","0","0","0","15.0","21","13","8","1","5","10","1.733","12.60","0.60","3.00","6.00","2.0000","0","NO"
"159","2009-10","23","1","3","0.2500","9.56","4","4","0","0","0","16.0","26","18","17","0","6","9","2.000","14.62","0.00","3.38","5.06","1.5000","1","SI"
"160","2009-10","31","0","1","0.0000","3.24","10","0","0","0","0","8.1","6","5","3","1","7","8","1.560","6.48","1.08","7.56","8.64","1.1429","0","NO"
"161","2009-10","24","1","0","1.0000","1.17","5","0","0","0","0","7.2","6","1","1","1","2","7","1.043","7.04","1.17","2.35","8.22","3.5000","0","NO"
"162","2009-10","39","1","0","1.0000","1.93","5","0","0","0","0","4.2","4","1","1","0","0","6","0.857","7.71","0.00","0.00","11.57","","0","NO"
"163","2009-10","36","0","0","","9.28","7","0","0","0","0","10.2","12","11","11","1","4","5","1.500","10.13","0.84","3.38","4.22","1.2500","0","NO"
"164","2009-10","23","0","0","","1.42","4","0","0","0","0","6.1","5","1","1","0","6","4","1.737","7.11","0.00","8.53","5.68","0.6667","0","NO"
"165","2009-10","32","1","0","1.0000","5.14","7","0","0","0","0","7.0","9","4","4","1","4","4","1.857","11.57","1.29","5.14","5.14","1.0000","0","NO"
"166","2009-10","33","0","0","","0.00","2","0","0","0","0","4.0","0","0","0","0","0","3","0.000","0.00","0.00","0.00","6.75","","0","NO"
"167","2009-10","21","0","0","","8.10","3","0","0","0","0","3.1","5","3","3","1","2","3","2.100","13.50","2.70","5.40","8.10","1.5000","0","NO"
"168","2009-10","27","0","0","","12.00","3","0","0","0","0","3.0","4","4","4","0","1","2","1.667","12.00","0.00","3.00","6.00","2.0000","0","NO"
"169","2009-10","31","0","1","0.0000","5.40","2","0","0","0","0","1.2","1","1","1","0","2","1","1.800","5.40","0.00","10.80","5.40","0.5000","0","NO"
