"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"628","1970-71","O. Pena","37","3","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"629","1971-72","O. Pena","38","3","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"630","2007-08","O. Salazar","29","15","67","59","6","13","2","0","4","9","0","0","6","14",".220",".299",".458",".756","8.1","27","6","1","0","1","NO"
"631","2008-09","O. Salazar","30","17","75","68","11","21","6","0","4","18","0","0","7","6",".309",".373",".574",".947","14.6","39","10","0","0","0","NO"
"632","2009-10","O. Salazar","31","14","61","52","11","12","0","0","2","8","0","0","9","7",".231",".344",".346",".690","6.2","18","2","0","0","0","NO"
"633","2011-12","O. Salazar","33","17","81","71","14","22","2","0","5","20","0","0","9","7",".310",".383",".549",".932","14.9","39","7","0","0","1","NO"
"634","1972-73","O. Troconis","23","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"635","1974-75","O. Zamora","30","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"636","1969-70","P. Casanova","28","4","","16","1","4","1","0","0","2","0","","","",".250","",".313",".000","","5","1","","","","NO"
"637","1970-71","P. Casanova","29","3","","13","0","4","1","0","0","2","0","","","",".308","",".385",".000","","5","1","","","","NO"
"638","1971-72","P. Casanova","30","7","","26","1","7","0","0","0","3","0","","","",".269","",".269",".000","","7","0","","","","NO"
"639","1972-73","P. Casanova","31","6","","26","1","4","0","0","0","1","0","","","",".154","",".154",".000","","4","0","","","","NO"
"640","1974-75","P. Casanova","33","5","","18","1","4","1","0","0","1","0","","","",".222","",".278",".000","","5","1","","","","NO"
"641","1984-85","P. Dodson","25","6","","19","3","6","2","1","1","2","0","","","",".316","",".684",".000","","13","4","","","","NO"
"642","2008-09","P. Guerra","18","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"643","1971-72","P. Hamm","24","3","","5","0","1","0","0","0","0","0","","","",".200","",".200",".000","","1","0","","","","SI"
"644","1983-84","P. Huffman","25","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"645","1970-71","P. Kelly","26","3","","15","4","8","2","0","0","4","0","","","",".533","",".667",".000","","10","2","","","","NO"
"646","1971-72","P. Kelly","27","7","","29","2","8","3","0","0","3","1","","","",".276","",".379",".000","","11","3","","","","NO"
"647","1972-73","P. Kelly","28","6","","24","4","6","0","0","1","5","1","","","",".250","",".375",".000","","9","1","","","","NO"
"648","1976-77","P. Pérez","25","1","","0","0","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"649","1977-78","P. Pérez","26","2","","0","1","0","0","0","0","0","0","","","","","","","","","0","0","","","","NO"
"650","1989-90","P. Tovar","0","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"651","1966-67","P. Villaren","23","2","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"652","2007-08","R. Acuna","28","10","32","30","1","6","0","0","0","2","2","2","2","8",".200",".250",".200",".450","1.5","6","0","0","0","0","NO"
"653","2009-10","R. Álvarez","32","11","42","35","8","11","1","1","3","7","0","0","6","4",".314",".415",".657","1.072","9.5","23","5","0","1","0","NO"
"654","2011-12","R. Álvarez","34","4","8","7","1","3","2","0","0","1","0","0","1","4",".429",".500",".714","1.214","2.5","5","2","0","0","0","NO"
"655","2013-14","R. Álvarez","36","9","22","15","3","2","1","0","0","2","0","0","5","8",".133",".333",".200",".533","1.0","3","1","0","1","1","NO"
"656","1982-83","R. Anderson","29","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"657","2008-09","R. Belisario","26","9","","","","","","","","","","","","","","","","","","","","","","","NO"
"658","2009-10","R. Belisario","27","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"659","1966-67","R. Clark","23","6","","24","3","15","4","0","2","7","0","","","",".625","","1.042",".000","","25","6","","","","SI"
"660","2000-01","R. Cordova","19","1","","2","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"661","2013-14","R. Cordova","19","5","1","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","2.000","1.0","1","0","0","0","0","NO"
"662","2016-17","R. Corona","30","4","3","3","1","1","1","0","0","0","0","0","0","0",".333",".333",".667","1.000","0.7","2","1","0","0","0","NO"
"663","2013-14","R. Cova","31","8","","","","","","","","","","","","","","","","","","","","","","","NO"
"664","2014-15","R. Cova","32","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"665","2015-16","R. Cova","33","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"666","2016-17","R. Cova","34","7","","","","","","","","","","","","","","","","","","","","","","","NO"
