player_id,years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo ,ronda,resultado
guejun001,2014-15,J. Guerra,29,2,0,1,2.81,3,3,0,0,0,16,16,6,5,0,9,11,,1562,9,0,5.06,6.19,1.2222,0,NO,round robin,
guejun001,2013-14,J. Guerra,28,0,0,,10.38,5,3,0,0,0,13,18,16,15,2,7,15,,1923,12.46,1.38,4.85,10.38,2.1429,0,NO,round robin,
guejun001,2011-12,J. Guerra,26,1,0,1,4.15,6,0,0,0,0,8.2,6,4,4,0,6,4,,1385,6.23,0,6.23,4.15,0.6667,0,NO,round robin,
guejun001,2009-10,J. Guerra,24,1,0,1,1.17,5,0,0,0,0,7.2,6,1,1,1,2,7,,1043,7.04,1.17,2.35,8.22,3.5,0,NO,round robin,
guejun001,2019-20,J. Guerra,34,0,0,,1.29,5,0,0,0,0,7,2,1,1,1,1,5,,429,2.57,1.29,1.29,6.43,5,0,NO,round robin,
,2007-08,J. Gutierrez,24,3,0,1,1.96,4,4,0,0,0,23,18,5,5,0,4,24,,957,7.04,0,1.57,9.39,6,0,SI,round robin,
halwil001,2017-18,J. Hale,32,0,1,0,15.75,2,1,0,0,0,4,9,7,7,1,4,2,27,3.25,20.25,2.25,9,4.5,0.5,0,NO,regular,
halwil001,2016-17,J. Hale,31,0,1,0,9.77,5,5,0,0,0,15.2,33,19,17,2,2,8,43,2234,18.96,1.15,1.15,4.6,4,0,NO,regular,
halwil001,2015-16,J. Hale,30,1,0,1000,2.04,3,3,0,0,0,17.2,12,4,4,1,5,7,190,962,6.11,0.51,2.55,3.57,1400,0,NO,regular,
herjes001,1999-00,J. Hernández,29,1,0,1000,3.65,12,1,0,,0,24.2,21,,10,,7,12,91,1135,7.66,,2.55,4.38,1710,,NO,regular,
hubjon001,2010-11,J. Huber,29,0,1,0,10.5,6,0,0,0,0,6,11,8,7,0,3,4,37,2333,16.5,0,4.5,6,1330,0,NO,regular,
,2011-12,J. Hunton,29,1,1,0.5,4.5,3,0,0,0,0,4,4,2,2,0,1,0,,1.25,9,0,2.25,0,0,0,SI,finales,Subcampeon
hurjam001,1995-96,J. Hurts,28,0,0,,0,1,1,0,,0,5,1,,0,,4,3,,1000,1.8,,7.2,5.4,750,,NO,regular,
hurjam001,1994-95,J. Hurts,27,4,7,364,3.36,15,13,0,,1,85.2,84,,32,,34,50,100,1377,8.82,,3.57,5.25,1470,,NO,regular,
hurjam001,1993-94,J. Hurts,26,5,8,385,1.93,14,14,1,,0,88.2,79,,19,,29,52,180,1218,8.02,,2.94,5.28,1790,,NO,regular,
infjos001,1964-65,J. Infante,20,1,0,1000,4.5,4,1,0,,0,4,10,,2,,2,1,78,3000,22.5,,4.5,2.25,500,,NO,regular,
infjos001,1963-64,J. Infante,19,1,0,1000,3.9,11,1,0,,0,30,39,,13,,11,8,81,1667,11.7,,3.3,2.4,730,,NO,regular,
,2011-12,J. Jiménez,24,0,0,,9,6,0,0,0,0,3,7,7,3,0,3,2,,3333,21,0,9,6,0.6667,0,SI,round robin,
joujam001,2006-07,J. Journell,29,0,0,,6.75,7,0,0,0,0,6.2,8,5,5,0,5,2,57,1950,10.8,0,6.75,2.7,400,0,NO,regular,
juljor001,2010-11,J. Julio,31,3,3,500,1.88,27,0,0,0,6,28.2,26,6,6,2,12,22,209,1326,8.16,0.63,3.77,6.91,1830,0,NO,regular,
juljor001,2004-05,J. Julio,25,0,0,,2.31,9,1,0,,3,11.2,6,,3,,3,8,198,771,4.63,,2.31,6.17,2670,,NO,regular,
juljor001,2003-04,J. Julio,24,1,0,1000,1.93,9,0,0,,4,9.1,7,,2,,4,6,225,1179,6.75,,3.86,5.79,1500,,NO,regular,
juljor001,2002-03,J. Julio,23,0,1,0,1.35,11,0,0,,10,13.1,7,,2,,4,17,260,825,4.73,,2.7,11.48,4250,,NO,regular,
juljor001,2001-02,J. Julio,22,2,2,500,1.67,25,0,0,,12,27,22,,5,,9,34,249,1148,7.33,,3,11.33,3780,,NO,regular,
juljor001,2000-01,J. Julio,21,0,2,0,2.57,21,0,0,,6,21,17,,6,,10,27,161,1286,7.29,,4.29,11.57,2700,,NO,regular,
juljor001,1999-00,J. Julio,20,2,3,400,3.68,21,3,0,,3,44,45,,18,,18,41,90,1432,9.2,,3.68,8.39,2280,,NO,regular,
juljor001,1998-99,J. Julio,19,4,2,667,2.61,18,5,1,,0,51.2,43,,15,,21,30,141,1239,7.49,,3.66,5.23,1430,,NO,regular,
juljor001,1997-98,J. Julio,18,0,2,0,3,16,0,0,,0,18,10,,6,,18,4,119,1556,5,,9,2,220,,NO,regular,
juljor001,2000-01,J. Julio,21,0,1,0,7.94,6,0,0,,2,5.2,6,,5,,3,6,,1588,9.53,,4.76,9.53,2,,NO,round robin,
,2008-09,J. Lehr,31,0,1,0,4.82,2,2,0,0,0,9.1,7,5,5,0,5,6,,1286,6.75,0,4.82,5.79,1.2,0,NO,round robin,
leijoh001,1988-89,J. Leister,27,0,0,,4.5,3,3,0,,0,8,11,,4,,7,4,71,2250,12.37,,7.87,4.5,570,,NO,regular,
lewjam001,1983-84,J. Lewis,28,1,4,200,3.76,7,2,2,,0,38.1,44,,16,,14,23,89,1513,10.33,,3.29,5.4,1640,,NO,regular,
linjon001,2014-15,J. Link,30,0,0,,6.75,2,0,0,0,0,1.1,4,1,1,0,0,0,61,3000,27,0,0,0,,0,NO,regular,
linjon001,2013-14,J. Link,29,3,2,600,4.5,18,0,0,0,3,18,21,9,9,1,10,16,104,1722,10.5,0.5,5,8,1600,0,NO,regular,
linjon001,2012-13,J. Link,28,0,0,,6,3,0,0,0,0,3,1,2,2,0,3,3,72,1333,3,0,9,9,1000,0,NO,regular,
linjon001,2011-12,J. Link,27,1,0,1000,2.76,18,0,0,0,3,16.1,17,6,5,1,7,11,138,1469,9.37,0.55,3.86,6.06,1570,0,NO,regular,
linjon001,2009-10,J. Link,25,2,0,1000,2.95,15,0,0,0,7,21.1,17,8,7,2,15,23,164,1500,7.17,0.84,6.33,9.7,1530,0,NO,regular,
linjon001,2013-14,J. Link,29,0,0,,4.26,7,0,0,0,0,6.1,12,7,3,1,4,9,,2526,17.05,1.42,5.68,12.79,2.25,0,NO,round robin,
lonjar001,2015-16,J. Long,24,3,1,750,2.3,8,8,0,0,0,43,44,12,11,2,11,23,169,1279,9.21,0.42,2.3,4.81,2090,0,NO,regular,
lopjos001,2004-05,J. López,28,1,1,500,8.64,4,2,0,,0,8.1,10,,8,,2,6,53,1440,10.8,,2.16,6.48,3000,,NO,regular,
maljoh001,1992-93,J. Malaver,20,0,1,0,4.63,5,1,0,,0,11.2,16,,6,,5,3,72,1800,12.34,,3.86,2.31,600,,NO,regular,
maljoh001,1991-92,J. Malaver,19,0,1,0,36,1,1,0,,0,1,6,,4,,0,0,9,6000,54,,0,0,,,NO,regular,
manjoa001,1999-00,J. Manaure,0,0,0,,6.94,12,0,0,,0,11.2,17,,9,,8,7,48,2143,13.11,,6.17,5.4,880,,NO,regular,
manjoa001,1994-95,J. Manaure,25,2,3,400,3.57,24,0,0,,0,40.1,39,,16,,14,22,94,1314,8.7,,3.12,4.91,1570,,NO,regular,
manjoa001,1993-94,J. Manaure,24,0,2,0,6.17,12,0,0,,1,11.2,14,,8,,5,9,56,1629,10.8,,3.86,6.94,1800,,NO,regular,
marjou001,2009-10,J. Martínez,23,0,0,,7.5,4,0,0,0,0,6,10,5,5,0,3,3,65,2167,15,0,4.5,4.5,1000,0,NO,regular,
matjos001,2007-08,J. Matos,29,0,0,,7.36,3,2,0,0,0,3.2,5,3,3,1,4,1,52,2455,12.27,2.45,9.82,2.45,250,0,NO,regular,
