years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2010-11,J. Parraz,26,26,87,73,13,23,3,0,1,6,0,1,9,20,0.32,0.4,397,797,126,11.6,29,4,2,2,1,NO,regular,Eliminado
2010-11,G. Rodríguez,32,37,94,81,12,22,7,0,0,13,3,0,9,12,0.27,362,358,0.72,104,10.5,29,7,3,0,1,NO,regular,Eliminado
2010-11,R. Olmedo,29,34,89,72,12,22,2,0,0,6,2,3,11,15,0.31,398,333,731,108,9.5,24,2,0,6,0,NO,regular,Eliminado
2010-11,W. Romero,36,20,85,77,9,21,3,0,0,5,2,2,7,11,0.27,341,312,653,85,8.2,24,3,1,0,0,NO,regular,Eliminado
2010-11,J. Dubois,31,22,81,73,9,20,2,0,5,13,1,0,6,15,0.27,346,507,853,140,12.8,37,7,2,0,0,NO,regular,Eliminado
2010-11,R. Ortega,19,42,87,76,9,16,1,2,0,11,5,3,8,17,0.21,294,276,0.57,62,6.2,21,3,1,2,0,NO,regular,Eliminado
2010-11,C. Smith,28,20,75,69,5,16,4,0,2,7,1,0,5,15,0.23,0.28,377,657,85,7.3,26,6,0,0,1,NO,regular,Eliminado
2010-11,M. Izturis,30,19,79,69,7,15,2,0,1,4,2,1,7,8,0.22,299,0.29,589,67,6,20,3,1,2,0,NO,regular,Eliminado
2010-11,R. Álvarez,33,33,72,59,8,12,2,1,1,9,2,0,12,12,0.2,347,322,669,90,6.6,19,4,1,0,0,NO,regular,Eliminado
2010-11,R. Osuna,25,21,68,58,9,12,1,0,0,3,4,0,9,7,0.21,313,224,538,53,4.1,13,1,0,1,0,NO,regular,Eliminado
2010-11,L. González,31,16,58,51,2,12,1,0,0,9,0,0,7,5,0.24,328,255,582,66,4.3,13,1,0,0,0,NO,regular,Eliminado
2010-11,G. Avila,24,14,29,25,4,4,0,0,1,3,1,0,3,8,0.16,241,0.28,521,47,1.7,7,1,0,0,1,NO,regular,Eliminado
2010-11,Ma. González,24,5,13,12,2,4,0,0,0,0,0,0,1,4,0.33,385,333,718,104,1.5,4,0,0,0,0,NO,regular,Eliminado
2010-11,E. Escobar,21,6,15,13,1,2,0,0,0,1,1,0,1,2,0.15,0.2,154,354,1,0.4,2,0,0,0,1,NO,regular,Eliminado
2010-11,J. Gibbons,33,4,15,14,0,2,0,0,0,1,0,0,1,4,0.14,0.2,143,343,-2,0.4,2,0,0,0,0,NO,regular,Eliminado
2010-11,R. González,37,5,19,18,0,1,0,0,0,1,0,0,1,6,0.06,105,56,161,-54,0.1,1,0,0,0,0,NO,regular,Eliminado
2010-11,A. Machado,28,5,11,10,0,1,0,0,0,0,0,0,1,0,0.1,182,0.1,282,-19,0.2,1,0,0,0,0,NO,regular,Eliminado
2010-11,M. Davalillo,20,1,3,3,0,1,0,0,0,1,0,0,0,1,0.33,333,333,667,89,0.3,1,0,0,0,0,NO,regular,Eliminado
2010-11,J. González,23,1,3,3,0,1,0,0,0,0,0,0,0,1,0.33,333,333,667,89,0.3,1,0,0,0,0,NO,regular,Eliminado
2010-11,D. Paisano,23,14,18,17,2,0,0,0,0,0,1,0,0,4,0,0,0,0,-100,0,0,0,0,1,0,NO,regular,Eliminado
2010-11,J. Gualdron,23,3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2010-11,R. Pérez ,21,2,3,2,0,0,0,0,0,0,0,0,1,0,0,333,0,333,-1,0,0,0,0,0,0,NO,regular,Eliminado
2009-10,C. Suarez,26,50,216,193,39,65,14,4,6,34,5,4,13,22,0.34,394,544,938,137,41.4,105,24,7,0,3,NO,regular,Eliminado
2009-10,O. Salazar,31,52,240,206,29,60,7,1,4,34,3,1,27,30,0.29,371,393,764,96,30,81,12,2,0,5,NO,regular,Eliminado
2009-10,W. Romero,35,54,219,193,38,58,14,1,5,34,13,3,22,39,0.3,0.37,461,831,111,32.9,89,20,1,0,3,NO,regular,Eliminado
2009-10,M. Ramírez,25,59,262,210,34,53,10,0,13,36,1,2,37,63,0.25,378,486,864,119,38.6,102,23,9,0,6,NO,regular,Eliminado
2009-10,R. Álvarez,32,51,197,165,33,51,11,0,6,26,7,1,27,36,0.31,408,485,893,128,32.7,80,17,2,1,2,NO,regular,Eliminado
2009-10,G. Blanco,26,47,225,168,35,51,8,3,1,23,10,7,49,33,0.3,464,405,869,125,31.6,68,12,3,3,2,NO,regular,Eliminado
2009-10,E. Bellorin,27,43,157,144,26,47,14,0,8,36,0,1,7,24,0.33,355,0.59,945,137,30.2,85,22,1,2,3,NO,regular,Eliminado
2009-10,R. Osuna,24,46,122,110,20,38,4,2,0,17,7,4,9,13,0.35,402,418,0.82,110,18.5,46,6,2,0,1,NO,regular,Eliminado
2009-10,J. Gibbons,32,19,86,72,19,28,4,0,7,19,0,0,13,10,0.39,488,736,1224,209,25.9,53,11,1,0,0,NO,regular,Eliminado
2009-10,M. Rojas,20,35,108,94,15,27,4,0,0,8,1,4,6,20,0.29,324,0.33,653,68,10.1,31,4,0,6,2,NO,regular,Eliminado
2009-10,M. Yépez,28,34,80,71,8,23,8,0,0,7,0,3,6,10,0.32,0.4,437,837,114,12.4,31,8,3,0,0,NO,regular,Eliminado
